building,stress,controller,bill_inr,energy_charge,demand_charge,energy_kwh,peak_kw,peak_kva,billed_kva,peak_at,comfort_violation_pct,comfort_violation_pct_occupied,comfort_kelvin_hours,max_overshoot_k,load_factor,demand_target_kw,ceiling_breaches,worst_breach_kw,first_breach_at,wall_seconds,ev_shortfall_kwh,pct_of_oracle_savings,solve_ms_mean,solve_ms_p95,infeasible_solves
Fox_office_Gaylord,none,No control,1320301.7884132506,954406.7318798953,318174.71993936045,154250.1186220714,497.14799990525063,523.3136841107902,523.3136841107902,2017-06-20 12:00:00,0.0,0.0,0.0,0.0,0.4309305798370273,467.2414405359504,11,29.906559369300226,2017-06-19 14:00:00,0.2893053199950373,0.0,0.0,,,
Fox_office_Gaylord,none,Rule based schedule,1287527.834978188,920364.7086371093,321144.89090922324,153567.4545241352,501.7888920456612,528.198833732275,528.198833732275,2017-06-19 14:00:00,0.0,0.0,0.0,0.0,0.4250555057406742,467.2414405359504,31,34.54745150971081,2017-06-06 15:00:00,0.2982645070005674,0.0,15.529305524663139,,,
Fox_office_Gaylord,none,MPC on mean forecast,1157009.9137429378,815685.9474324847,300539.66893882875,135411.61179260377,469.59323271691994,494.3086660178105,494.3086660178105,2017-06-19 14:30:00,0.625,1.7045454545454544,1.9826962137693043,0.2923103766960189,0.4004991340210738,467.2414405359504,2,2.3517921809695395,2017-06-19 14:30:00,19.533000259005348,0.0,77.37270440914813,6.533754696513622,17.661830897486638,1.0
Fox_office_Gaylord,none,Ours: quantile + chance constrained,1148853.4253621763,815771.9822218139,292292.8440292717,135594.0731749553,456.70756879573696,480.7448092586705,480.7448092586705,2017-06-20 14:00:00,0.5555555555555556,1.5151515151515151,1.6777885506158583,0.2982072445948738,0.412353800328873,467.2414405359504,0,0.0,,19.328834428000846,0.0,81.23749906458026,6.461785946809565,16.81048199825453,1.0
Fox_office_Gaylord,none,MPC on perfect forecast (16 h),1143366.2308773429,815259.8546332509,287343.3835124296,135445.71756448952,448.9740367381712,472.60424919807497,472.60424919807497,2017-06-20 15:30:00,0.6597222222222222,1.7992424242424243,1.1479572550657844,0.29425455063535466,0.41899761852511697,467.2414405359504,0,0.0,,18.477991239000403,0.0,83.83750030633038,6.167096886045127,16.631238003174072,1.0
Fox_office_Gaylord,none,Perfect foresight oracle,1109255.947483583,776557.0155392695,293871.08116735006,130516.99293375014,459.1735643239844,483.3405940252468,483.3405940252468,2017-06-07 09:30:00,0.7291666666666666,1.9886363636363635,1.2897276748211306,0.32713141181394434,0.3947823119211015,467.2414405359504,0,0.0,,0.47525941699859686,0.0,100.0,232.3699340049643,232.3699340049643,0.0
Fox_office_Gaylord,heatwave,No control,1352622.2389860314,985188.1133777818,318174.71993936045,159304.53909729893,497.14799990525063,523.3136841107902,523.3136841107902,2017-06-20 12:00:00,0.0,0.0,0.0,0.0,0.4450511806222138,467.2414405359504,19,29.906559369300226,2017-06-15 10:30:00,0.2952968489989871,0.0,0.0,,,
Fox_office_Gaylord,heatwave,Rule based schedule,1317725.6994649824,949124.5795769133,321144.89090922324,158414.12414962729,501.7888920456612,528.198833732275,528.198833732275,2017-06-19 14:00:00,0.0,0.0,0.0,0.0,0.4384704810373946,467.2414405359504,40,34.54745150971081,2017-06-06 15:00:00,0.3032711850028136,0.0,16.630270829272064,,,
Fox_office_Gaylord,heatwave,MPC on mean forecast,1191990.887070063,844194.3107544915,305586.86077784706,140180.8231084798,477.479469965386,502.6099683846169,502.6099683846169,2017-06-15 15:00:00,0.6944444444444444,1.893939393939394,2.3189962313364303,0.381286867903885,0.40775698202224375,467.2414405359504,4,10.238029429435585,2017-06-15 15:00:00,19.556848606996937,0.0,76.55036638871755,6.556488721917553,18.046531502841386,1.0
Fox_office_Gaylord,heatwave,Ours: quantile + chance constrained,1180080.3901018589,844444.7899003774,293413.36070646264,140384.2825176654,458.45837610384785,482.5877643198399,482.5877643198399,2017-06-15 07:30:00,0.6597222222222222,1.7992424242424243,1.9687793670508915,0.38552083203710197,0.4252908886089554,467.2414405359504,0,0.0,,19.143447697999363,0.0,82.22642461715546,6.4124409073530035,17.292774447560063,1.0
Fox_office_Gaylord,heatwave,MPC on perfect forecast (16 h),1179467.752469286,843861.3254884034,293413.36070646264,140241.53218686135,458.45837610384785,482.5877643198399,482.5877643198399,2017-06-15 07:30:00,0.6597222222222222,1.7992424242424243,1.107632267242204,0.29425455063535466,0.4248584298326018,467.2414405359504,0,0.0,,20.928508815006353,0.0,82.5183827852066,6.965888568781035,17.28740910257329,1.0
