tag,id,arm,site,usage,country,tier,median_load,n_test,static_margin_pinball,static_margin_skill,static_margin_cov90,static_margin_pct,persistence_pinball,persistence_skill,persistence_cov90,persistence_pct,climatology_pinball,climatology_skill,climatology_cov90,climatology_pct,seasonal_naive_pinball,seasonal_naive_skill,seasonal_naive_cov90,seasonal_naive_pct,lightgbm_quantile_pinball,lightgbm_quantile_skill,lightgbm_quantile_cov90,lightgbm_quantile_pct,cdd_share,hvac_share,t_mean,p99_over_median,corr_temp
climate/Fox_education_Kris,Fox_education_Kris,climate,Fox,Education,US,1,66.6955311828432,184320,9.063849401539292,-1.0012248448466607,0.9284722222222223,13.5898901182616,12.593710668130086,-1.7805897429840605,0.9301215277777778,18.88239053618888,4.162437276049922,0.08096742091364584,0.9211805555555556,6.2409537824037455,4.52915094717095,0.0,0.8597222222222223,6.790786229371889,3.4842370425499487,0.23070856255601002,0.8841471354166667,5.2240936997683525,0.8725854983689779,0.375835812181772,24.331113819899436,,
climate/Bull_education_Dakota,Bull_education_Dakota,climate,Bull,Education,US,1,44.461922442434975,184320,3.755571062608857,-1.778462542773338,0.9145833333333333,8.446713179060598,4.862528284266097,-2.5974163384953,0.9110514322916666,10.936387850888885,1.542150129393303,-0.1409200620679647,0.9236111111111112,3.468473796628859,1.3516723744852837,0.0,0.9121527777777778,3.0400673210549973,1.060625948099463,0.21532320396549565,0.9059353298611111,2.3854702852146343,0.7515000421528885,0.12811806426305022,21.161100091547148,,
climate/Rat_education_Lonnie,Rat_education_Lonnie,climate,Rat,Education,US,1,38.445087370986826,184320,6.413576924309517,-0.3650572321218024,0.909375,16.682435553910643,7.959678330807739,-0.6941274111251214,0.90087890625,20.704019356227636,3.794265633209136,0.19243351965238142,0.909375,9.86931203093724,4.698394157687039,0.0,0.8854166666666666,12.221052100489578,2.9639234291394607,0.369162456434144,0.9002821180555556,7.709498486863191,0.31493732379996525,0.2300677969747651,14.971987194145893,,
climate/Hog_education_Robert,Hog_education_Robert,climate,Hog,Education,US,1,430.64256228402195,184320,38.12321099399112,-0.742798949694399,0.8972222222222223,8.852634257003073,40.3820983932178,-0.8460637714186414,0.9558919270833334,9.377173073428022,26.968725853011073,-0.23287272676564585,0.8534722222222222,6.262438554604451,21.87470390699745,0.0,0.8798611111111111,5.079549915126693,10.792340925697069,0.5066291652869079,0.9163736979166667,2.5061017815928723,0.10872364499195994,0.12835431889829163,8.919769922291634,,
climate/Bear_education_Leonel,Bear_education_Leonel,climate,Bear,Education,US,1,56.23734137602632,184320,15.629415885726633,-1.669486890526795,0.9138888888888889,27.791882587802007,20.356787245026943,-2.476916673096517,0.9056857638888889,36.19799006662313,4.596420581321105,0.214936465003165,0.8993055555555556,8.17325369381799,5.854838973433705,0.0,0.8861111111111111,10.410945521563349,3.0330481070543382,0.4819587488542768,0.8727864583333333,5.393299243600642,0.051379916875064664,0.2571102428625631,14.956098118381961,,
climate/Robin_education_Kiera,Robin_education_Kiera,climate,Robin,Education,GB,1,66.6725042712945,184320,5.409755573064819,-0.317449067523089,0.8944444444444445,8.113922871491662,7.001626832863193,-0.7051207984382861,0.9056586371527777,10.501520693407803,2.8175170328174195,0.3138441954572846,0.9152777777777777,4.225905511742547,4.106235076878986,0.0,0.9020833333333333,6.158813324560997,2.060619056461209,0.4981731396568221,0.9104058159722223,3.0906579541041745,0.04550438073621397,0.039642935248464316,11.434981684981684,,
climate/Wolf_education_Eulalia,Wolf_education_Eulalia,climate,Wolf,Education,IE,1,48.82383456376279,184320,8.904597989502735,-0.16615092780876872,0.9246527777777778,18.23821924079629,11.570732006667644,-0.5153092684148901,0.9327907986111111,23.69894153142875,5.26203103816667,0.31088159346997357,0.9194444444444444,10.777586572587987,7.635888097464992,0.0,0.9288194444444444,15.639673052497958,3.451300278814833,0.5480158647216666,0.9184353298611111,7.068884100669142,0.003314352887088835,0.04147444611563145,9.627964872088583,,
office/Fox_office_Gaylord,Fox_office_Gaylord,office,Fox,Office,US,1,97.21,184320,20.30702730137662,-2.268541183047166,0.8520833333333333,20.88985423451972,27.581687645844585,-3.4394425944497957,0.8204861111111111,28.373302793791368,7.313924201632956,-0.177221171170735,0.8631944444444445,7.5238393186225245,6.212871787176006,0.0,0.8840277777777777,6.391185873033645,2.4191162326298095,0.6106283349315031,0.8880696614583333,2.4885466851453653,0.8725854983689779,0.24050128845023003,24.331113819899436,,
office/Rat_office_Jill,Rat_office_Jill,office,Rat,Office,US,1,404.5429951011977,184320,84.56065914120656,-0.7040076724055775,0.7892361111111111,20.90276192276014,99.52183466167392,-1.0054948903861152,0.9210557725694445,24.60105251279366,43.03658176145387,0.13275669489322584,0.7927083333333333,10.638320841691531,49.62457652660143,0.0,0.8288194444444444,12.26682383023038,34.038479011944005,0.3140802119752587,0.8239040798611111,8.414057201368466,0.31493732379996525,0.04521366220494343,14.971987194145893,,
office/Hog_office_Mari,Hog_office_Mari,office,Hog,Office,US,1,37.173,184320,5.42744327407042,-0.13454990021579594,0.8833333333333333,14.600498410325827,7.347031802106054,-0.5358196810245559,0.8722764756944444,19.764430640803955,3.4925640610397695,0.2699162373781572,0.9100694444444445,9.395432332713984,4.783785422781403,0.0,0.8902777777777777,12.868978620992126,3.009111503480399,0.37097690687580376,0.91396484375,8.09488473752562,0.10872364499195994,0.23942631612842266,8.919769922291634,,
